"","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000019899.18",-2.96647525586693,7.43321423928953,442.769692414128,1.10686845618248e-06,0.00036630704688903
"ENSMUSG00000069516.9",6.25688083312557,3.47647009129895,438.837411339766,1.13543574670322e-06,0.000368221961764236
"ENSMUSG00000001946.15",-5.59749882934993,3.39265139432028,434.771434099934,1.16602793036337e-06,0.000368221961764236
"ENSMUSG00000027555.9",2.60158825947957,6.57104051898153,433.037192677977,1.17941403115395e-06,0.000368221961764236
"ENSMUSG00000045180.14",-5.65434284870062,5.66240666415039,423.824171831364,1.25410899965394e-06,0.000373971528514632
"ENSMUSG00000038508.8",3.29684354350074,5.29283856972486,422.382081200792,1.26637259983624e-06,0.000373971528514632
"ENSMUSG00000041757.18",-4.37803026810679,3.25460843913023,422.229741879686,1.26767751282207e-06,0.000373971528514632
"ENSMUSG00000050379.16",-3.10839042306706,5.11075056392813,419.857640995075,1.28823213424391e-06,0.000373971528514632
"ENSMUSG00000049556.6",4.70169065771058,4.18994933400721,411.954179643667,1.36004376132242e-06,0.000379599780127672
"ENSMUSG00000054863.10",6.14083247712736,3.85204234943457,410.679069177677,1.37213087846516e-06,0.000379599780127672
"ENSMUSG00000048120.17",-3.51381740709598,6.65023773434253,407.913363813855,1.398849196054e-06,0.000379599780127672
"ENSMUSG00000030607.8",6.10193216121293,3.3812803632156,407.858857932711,1.39938276350928e-06,0.000379599780127672
"ENSMUSG00000029061.3",5.7860880711697,4.95985189713314,404.277955521027,1.43504562108671e-06,0.000382995159550352
"ENSMUSG00000026360.10",3.75366093621929,3.68641371498982,397.714572705424,1.50365504116505e-06,0.000394936189939017
"ENSMUSG00000025504.15",13.0048939822491,3.7152525478413,824.469014559328,1.5508290188391e-06,0.000396269594631084
"ENSMUSG00000020154.11",-4.52002016595219,3.2441898145721,391.152271571016,1.57674176338723e-06,0.000396269594631084
"ENSMUSG00000027913.6",6.19430153610444,4.27785619066798,389.246230481915,1.59886395331903e-06,0.000396269594631084
"ENSMUSG00000033715.16",-2.92048401818692,7.79151884023644,388.764237351695,1.60452425456473e-06,0.000396269594631084
"ENSMUSG00000017756.10",-3.48819449279633,8.13381025127016,381.302501218086,1.69569919255153e-06,0.000401267791809933
"ENSMUSG00000060961.17",-3.01291699888485,5.89494919213893,377.591703814835,1.74364744776768e-06,0.000401267791809933
"ENSMUSG00000032289.16",-3.93898846465634,5.86215630084223,376.631298553165,1.75635382613301e-06,0.000401267791809933
"ENSMUSG00000106957.2",-5.36037583872618,4.24153884501404,375.872157350905,1.76648578339199e-06,0.000401267791809933
"ENSMUSG00000026051.9",5.9830842064884,5.78718106696983,374.809177240915,1.78080561465191e-06,0.000401267791809933
"ENSMUSG00000029375.7",-4.93145562291964,6.83558202290498,372.341349647171,1.81465859355013e-06,0.000401267791809933
"ENSMUSG00000057098.15",7.65365113191333,2.35186284999305,372.263911284967,1.81573483711455e-06,0.000401267791809933
"ENSMUSG00000028370.8",10.1316954442307,3.91417671470028,370.388297278629,1.84206679617404e-06,0.000401267791809933
"ENSMUSG00000056648.6",-4.76293210622669,3.87238071598248,369.18657925467,1.85920860425762e-06,0.000401267791809933
"ENSMUSG00000069806.6",3.84733999547513,5.26067260825976,368.626988081297,1.86726415479331e-06,0.000401267791809933
"ENSMUSG00000004151.18",6.41926006381406,2.3914692803972,361.034759398509,1.98135455563384e-06,0.000402094598619225
