"","ENSEMBL","ENTREZID"
"171","ENSMUSG00000042115","213417"
"172","ENSMUSG00000024420","225207"
"173","ENSMUSG00000020032","77976"
"174","ENSMUSG00000021559","69635"
"175","ENSMUSG00000023963","56050"
"176","ENSMUSG00000028538","20441"
"177","ENSMUSG00000029359","57816"
"178","ENSMUSG00000042734","69480"
"179","ENSMUSG00000071042","240168"
"180","ENSMUSG00000022947","109857"
"181","ENSMUSG00000059895","19245"
"182","ENSMUSG00000030407","67369"
"183","ENSMUSG00000041559","14264"
"184","ENSMUSG00000027656","22403"
"186","ENSMUSG00000046329","66972"
"187","ENSMUSG00000038486","64051"
"188","ENSMUSG00000020057","71712"
"189","ENSMUSG00000034765","240672"
"190","ENSMUSG00000041135","192656"
"191","ENSMUSG00000080316","75202"
"192","ENSMUSG00000060988","271786"
"193","ENSMUSG00000027500","20257"
"194","ENSMUSG00000044783","212427"
"195","ENSMUSG00000044783","381280"
"196","ENSMUSG00000035357","55983"
"197","ENSMUSG00000023915","94185"
"198","ENSMUSG00000102758","635702"
"199","ENSMUSG00000033910","60596"
"200","ENSMUSG00000031886","234673"
"201","ENSMUSG00000040659","27984"
"202","ENSMUSG00000030222","232441"
"203","ENSMUSG00000046743","329628"
"204","ENSMUSG00000041084","66357"
"205","ENSMUSG00000097910","75996"
"206","ENSMUSG00000076441","11898"
"207","ENSMUSG00000051811","333182"
"208","ENSMUSG00000022469","223864"
"209","ENSMUSG00000079429","100040766"
"210","ENSMUSG00000024892","18563"
"211","ENSMUSG00000020256","216188"
"212","ENSMUSG00000026833","56177"
"213","ENSMUSG00000036098","225908"
"214","ENSMUSG00000032246","75600"
"215","ENSMUSG00000043903","195209"
"216","ENSMUSG00000038128","12326"
"217","ENSMUSG00000046314","217517"
"218","ENSMUSG00000030761","17921"
"219","ENSMUSG00000019960","67603"
"220","ENSMUSG00000028111","13038"
"221","ENSMUSG00000034762","230587"
"222","ENSMUSG00000046711","15361"
"223","ENSMUSG00000059430","11468"
"224","ENSMUSG00000075122","12519"
"225","ENSMUSG00000000530","11482"
"226","ENSMUSG00000033016","18018"
"227","ENSMUSG00000056498","320782"
"229","ENSMUSG00000029657","15505"
"230","ENSMUSG00000073805","627214"
"231","ENSMUSG00000039518","386463"
"232","ENSMUSG00000028893","230784"
"233","ENSMUSG00000046807","192734"
"234","ENSMUSG00000028108","13601"
"235","ENSMUSG00000068396","619547"
"236","ENSMUSG00000039982","207521"
"237","ENSMUSG00000027995","24088"
"238","ENSMUSG00000085396","103012"
"239","ENSMUSG00000053965","242202"
"240","ENSMUSG00000038463","320078"
"241","ENSMUSG00000021175","217946"
"242","ENSMUSG00000022479","22337"
"243","ENSMUSG00000048332","108927"
"244","ENSMUSG00000019853","56016"
"245","ENSMUSG00000003545","14282"
"246","ENSMUSG00000029163","100952"
"247","ENSMUSG00000028923","66147"
"248","ENSMUSG00000094410","667118"
"249","ENSMUSG00000022987","239652"
"250","ENSMUSG00000014599","12977"
"251","ENSMUSG00000029126","18196"
"252","ENSMUSG00000049001","68169"
"253","ENSMUSG00000033705","668880"
"254","ENSMUSG00000120741","102636155"
"255","ENSMUSG00000044303","12578"
"256","ENSMUSG00000053080","108899"
"257","ENSMUSG00000029757","13426"
"258","ENSMUSG00000042793","329252"
"259","ENSMUSG00000053398","236539"
"260","ENSMUSG00000028541","53418"
"261","ENSMUSG00000004891","18008"
"262","ENSMUSG00000022865","13052"
"263","ENSMUSG00000027859","18049"
"264","ENSMUSG00000028248","66625"
"265","ENSMUSG00000038843","14537"
"266","ENSMUSG00000050315","118449"
"267","ENSMUSG00000056486","108699"
"268","ENSMUSG00000015202","215748"
"269","ENSMUSG00000036528","19024"
"270","ENSMUSG00000026605","108000"
"271","ENSMUSG00000085645","75395"
"272","ENSMUSG00000062694","12391"
"273","ENSMUSG00000002083","170770"
"274","ENSMUSG00000037025","15376"
"275","ENSMUSG00000027896","229699"
"276","ENSMUSG00000031523","50768"
"277","ENSMUSG00000031451","14456"
"278","ENSMUSG00000010755","27267"
"279","ENSMUSG00000004633","69993"
"280","ENSMUSG00000034656","12286"
"281","ENSMUSG00000037379","100689"
"282","ENSMUSG00000025608","27205"
"283","ENSMUSG00000052430","12167"
